user_id,tenure_days,plan,primary_device,region,age_group,bundle_type,num_services,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session,sessions_per_active_day,watch_time_per_active_day,searches_per_session,watchlist_additions_per_session,will_churn_30d,signup_date,behavioral_segment,churn_probability,churn_date
U000000,107,individual,desktop,LATAM,35_44,standalone,1,7,2,307.98,42.09,0.9019,0.277,0.3697,0.4078,4,3,16,3.5,153.99,0.5714,0.4286,0,2025-03-16,casual,0.031458,
U000001,704,student,desktop,LATAM,45_54,standalone,2,7,7,169.82,27.64,0.5867,0.5701,0.2306,0.3987,2,0,16,1.0,24.26,0.2857,0.0,0,2023-07-28,passive,0.355754,
U000002,600,individual,tablet,LATAM,25_34,bundle,1,11,10,452.28,34.57,0.611,0.4399,0.482,0.2248,2,0,11,1.1,45.228,0.1818,0.0,0,2023-11-09,passive,0.071456,
U000003,412,family,mobile,EU,18_24,bundle,5,27,20,1745.14,59.82,0.7797,0.3829,0.4737,0.8547,15,2,1,1.35,87.257,0.5556,0.0741,0,2024-05-15,power,0.000339,
U000004,407,individual,tv,LATAM,25_34,bundle,4,26,18,1630.78,65.47,0.9175,0.1793,0.9093,0.6209,10,11,10,1.4444,90.5989,0.3846,0.4231,0,2024-05-20,power,0.00051,
U000005,777,student,tv,EU,25_34,standalone,4,16,12,1116.75,61.32,0.7289,0.323,0.4012,0.3122,5,2,22,1.3333,93.0625,0.3125,0.125,0,2023-05-16,casual,0.024194,
U000006,104,individual,mobile,APAC,35_44,bundle,1,5,2,150.53,33.36,0.7235,0.3989,0.2205,0.4945,4,0,51,2.5,75.265,0.8,0.0,1,2025-03-19,passive,0.88168,2025-07-03
U000007,637,premium,tablet,LATAM,18_24,bundle,4,17,8,258.66,25.73,0.6896,0.3635,0.3978,0.3358,3,1,8,2.125,32.3325,0.1765,0.0588,1,2023-10-03,passive,0.008315,2025-07-05
U000008,205,individual,tv,US,45_54,standalone,4,3,1,114.58,38.8,0.6222,0.4523,0.3629,0.2647,2,2,1,3.0,114.58,0.6667,0.6667,0,2024-12-08,passive,0.188115,
U000009,112,individual,tv,LATAM,25_34,standalone,3,6,3,124.74,26.96,0.892,0.2692,0.3615,0.2005,14,4,3,2.0,41.58,2.3333,0.6667,0,2025-03-11,casual,0.028496,
U000010,488,student,mobile,LATAM,45_54,bundle,3,22,10,860.46,43.1,0.8264,0.2459,0.5127,0.69,7,4,15,2.2,86.046,0.3182,0.1818,0,2024-02-29,casual,0.002717,
U000011,879,individual,mobile,LATAM,55_plus,bundle,3,6,3,198.58,42.42,0.7002,0.4773,0.5138,0.4977,6,3,0,2.0,66.1933,1.0,0.5,0,2023-02-03,casual,0.026972,
U000012,670,family,tablet,LATAM,18_24,standalone,4,14,8,610.49,42.69,0.8509,0.2085,0.6355,0.1719,4,4,19,1.75,76.3112,0.2857,0.2857,0,2023-08-31,casual,0.009819,
U000013,692,family,mobile,US,55_plus,standalone,3,13,11,377.76,34.2,0.6198,0.5419,0.4105,0.144,3,2,9,1.1818,34.3418,0.2308,0.1538,0,2023-08-09,passive,0.071948,
U000014,654,individual,mobile,US,35_44,bundle,2,38,27,2072.37,55.17,0.6173,0.4168,0.6243,0.7511,7,3,14,1.4074,76.7544,0.1842,0.0789,0,2023-09-16,power,0.002005,
U000015,714,premium,tv,US,45_54,standalone,2,16,12,798.51,48.04,0.7853,0.3907,0.6517,0.3282,5,5,21,1.3333,66.5425,0.3125,0.3125,0,2023-07-18,casual,0.016724,
U000016,477,individual,tv,US,25_34,standalone,3,13,9,797.88,66.86,0.668,0.4218,0.244,0.5242,4,0,6,1.4444,88.6533,0.3077,0.0,0,2024-03-11,casual,0.014367,
U000017,141,premium,mobile,EU,45_54,standalone,3,17,11,349.45,18.58,0.6909,0.323,0.6437,0.4446,6,5,4,1.5455,31.7682,0.3529,0.2941,0,2025-02-10,casual,0.008105,
U000018,761,student,mobile,EU,25_34,standalone,2,5,3,107.23,22.85,0.6913,0.4681,0.2512,0.2561,2,1,34,1.6667,35.7433,0.4,0.2,0,2023-06-01,passive,0.540031,
U000019,422,individual,tablet,EU,18_24,standalone,1,18,11,859.67,51.28,0.5697,0.4429,0.8673,0.4644,6,3,1,1.6364,78.1518,0.3333,0.1667,0,2024-05-05,casual,0.00639,
U000020,465,premium,desktop,US,55_plus,standalone,3,10,4,350.41,35.33,0.4145,0.6557,0.1887,0.3528,0,2,10,2.5,87.6025,0.0,0.2,0,2024-03-23,at_risk,0.283505,
U000021,352,premium,tv,LATAM,55_plus,standalone,4,1,2,30.49,36.83,0.4437,0.5671,0.212,0.1522,5,3,17,0.5,15.245,5.0,3.0,1,2024-07-14,at_risk,0.842393,2025-07-13
U000022,189,family,tablet,US,18_24,bundle,1,3,2,103.81,36.18,0.6256,0.4391,0.1302,0.1789,1,0,11,1.5,51.905,0.3333,0.0,0,2024-12-24,at_risk,0.562886,
U000023,837,family,mobile,LATAM,25_34,bundle,3,8,4,300.07,35.28,0.644,0.3626,0.4319,0.4403,2,2,0,2.0,75.0175,0.25,0.25,0,2023-03-17,passive,0.019406,
U000024,710,family,tv,LATAM,55_plus,bundle,4,5,3,111.32,22.24,0.5918,0.5705,0.3415,0.2567,5,1,3,1.6667,37.1067,1.0,0.2,0,2023-07-22,passive,0.165687,
U000025,590,family,tv,EU,35_44,standalone,3,8,2,282.98,30.86,0.4912,0.5764,0.4963,0.3238,5,5,15,4.0,141.49,0.625,0.625,1,2023-11-19,passive,0.176055,2025-07-24
U000026,380,individual,tablet,APAC,25_34,bundle,3,19,13,652.89,37.14,0.6915,0.4105,0.5565,0.7682,6,4,4,1.4615,50.2223,0.3158,0.2105,0,2024-06-16,casual,0.007366,
U000027,746,individual,tablet,APAC,18_24,bundle,4,21,11,548.64,31.01,0.606,0.4566,0.7755,0.5922,10,6,4,1.9091,49.8764,0.4762,0.2857,0,2023-06-16,casual,0.003045,
U000028,505,family,mobile,LATAM,25_34,standalone,2,10,5,321.82,30.52,0.5928,0.5202,0.5004,0.1706,1,2,0,2.0,64.364,0.1,0.2,0,2024-02-12,passive,0.060462,
U000029,416,individual,mobile,LATAM,25_34,bundle,4,19,8,1290.02,61.76,0.9306,0.2126,0.6293,0.7223,9,6,0,2.375,161.2525,0.4737,0.3158,0,2024-05-11,power,0.000842,
U000030,422,premium,tablet,LATAM,35_44,standalone,4,25,12,1735.86,78.59,0.7507,0.2371,0.6438,0.8319,8,10,11,2.0833,144.655,0.32,0.4,0,2024-05-05,power,0.000455,
U000031,227,individual,mobile,EU,25_34,standalone,2,9,8,347.29,39.15,0.368,0.7341,0.2788,0.4505,1,2,10,1.125,43.4112,0.1111,0.2222,0,2024-11-16,at_risk,0.433158,
U000032,110,student,tv,US,35_44,standalone,3,12,3,966.97,64.06,0.9147,0.1914,0.8876,0.7508,10,8,6,4.0,322.3233,0.8333,0.6667,0,2025-03-13,power,0.001792,
U000033,513,individual,tv,EU,18_24,standalone,2,18,14,537.02,34.64,0.6327,0.416,0.7589,0.3325,4,3,16,1.2857,38.3586,0.2222,0.1667,0,2024-02-04,casual,0.012274,
U000034,803,family,mobile,APAC,45_54,bundle,3,15,6,257.24,15.85,0.4677,0.6206,0.3856,0.0248,5,4,4,2.5,42.8733,0.3333,0.2667,1,2023-04-20,passive,0.087233,2025-07-28
U000035,85,student,tv,LATAM,18_24,standalone,3,19,12,1183.69,63.15,0.7819,0.291,0.5341,0.7346,15,5,1,1.5833,98.6408,0.7895,0.2632,0,2025-04-07,power,0.002641,
U000036,777,premium,tv,LATAM,35_44,bundle,1,5,5,146.11,36.21,0.4903,0.5937,0.3116,0.2693,1,0,12,1.0,29.222,0.2,0.0,0,2023-05-16,at_risk,0.399271,
U000037,750,student,tablet,EU,45_54,bundle,5,27,18,1700.11,56.27,0.99,0.0899,0.5377,0.5442,18,7,10,1.5,94.4506,0.6667,0.2593,0,2023-06-12,power,0.000311,
U000038,271,individual,mobile,LATAM,45_54,standalone,2,3,2,31.57,14.79,0.3038,0.7655,0.0891,0.1007,1,1,0,1.5,15.785,0.3333,0.3333,1,2024-10-03,at_risk,0.853205,2025-07-30
U000039,580,family,mobile,US,18_24,bundle,2,9,8,278.08,32.06,0.4956,0.5577,0.3021,0.3564,3,2,3,1.125,34.76,0.3333,0.2222,0,2023-11-29,passive,0.073126,
U000040,173,individual,mobile,LATAM,45_54,standalone,2,9,7,572.32,53.55,0.7464,0.4792,0.6837,0.6909,8,7,8,1.2857,81.76,0.8889,0.7778,0,2025-01-09,casual,0.018311,
U000041,690,family,mobile,US,18_24,standalone,4,17,9,649.19,49.99,0.9581,0.0938,0.6697,0.4836,16,4,3,1.8889,72.1322,0.9412,0.2353,0,2023-08-11,power,0.000531,
U000042,640,student,tv,APAC,18_24,standalone,2,11,10,580.67,45.58,0.8967,0.2301,0.4218,0.5062,5,3,2,1.1,58.067,0.4545,0.2727,0,2023-09-30,casual,0.009983,
U000043,338,individual,mobile,LATAM,45_54,bundle,4,7,5,172.07,17.49,0.7274,0.3604,0.6142,0.4526,8,2,11,1.4,34.414,1.1429,0.2857,0,2024-07-28,casual,0.015889,
U000044,89,individual,mobile,LATAM,18_24,bundle,3,10,5,318.15,30.42,0.8426,0.2305,0.2497,0.4972,7,5,3,2.0,63.63,0.7,0.5,0,2025-04-03,casual,0.020838,
U000045,875,premium,desktop,APAC,25_34,bundle,1,6,5,127.44,24.3,0.4609,0.5769,0.0722,0.0,2,1,13,1.2,25.488,0.3333,0.1667,1,2023-02-07,at_risk,0.527004,2025-07-22
U000046,418,student,mobile,LATAM,55_plus,standalone,1,10,5,350.4,43.57,0.6391,0.4375,0.6466,0.5143,6,4,9,2.0,70.08,0.6,0.4,0,2024-05-09,casual,0.051574,
U000047,807,individual,mobile,EU,25_34,bundle,3,11,9,458.6,35.46,0.3719,0.6461,0.05,0.516,1,0,37,1.2222,50.9556,0.0909,0.0,1,2023-04-16,at_risk,0.699603,2025-07-17
U000048,620,family,tablet,APAC,45_54,bundle,4,20,10,791.28,59.88,0.8261,0.3265,0.9214,0.6874,12,7,0,2.0,79.128,0.6,0.35,0,2023-10-20,power,0.000459,
U000049,707,premium,tv,LATAM,35_44,bundle,3,3,1,99.17,32.95,0.6569,0.4754,0.0867,0.421,1,3,32,3.0,99.17,0.3333,1.0,1,2023-07-25,at_risk,0.708955,2025-07-22
U000050,691,family,mobile,LATAM,25_34,bundle,2,16,12,840.9,67.81,0.8015,0.2627,0.6159,0.6713,6,2,8,1.3333,70.075,0.375,0.125,0,2023-08-10,casual,0.003214,
U000051,199,family,desktop,LATAM,25_34,standalone,3,8,2,508.95,53.65,0.7272,0.355,0.4573,0.6612,6,4,4,4.0,254.475,0.75,0.5,0,2024-12-14,casual,0.011423,
U000052,346,individual,tv,LATAM,25_34,bundle,2,8,4,287.61,28.09,0.4956,0.6025,0.4146,0.1313,2,0,23,2.0,71.9025,0.25,0.0,0,2024-07-20,passive,0.334834,
U000053,436,individual,mobile,LATAM,45_54,bundle,5,31,23,1495.1,43.75,0.6282,0.4479,0.6698,0.7264,10,8,2,1.3478,65.0043,0.3226,0.2581,0,2024-04-21,power,0.000392,
U000054,463,premium,mobile,LATAM,45_54,standalone,2,8,1,164.76,19.84,0.4856,0.5095,0.162,0.2003,2,0,12,8.0,164.76,0.25,0.0,1,2024-03-25,at_risk,0.307513,2025-07-18
U000055,68,premium,desktop,LATAM,25_34,bundle,2,8,6,286.82,43.41,0.8159,0.2678,0.8062,0.3878,4,0,1,1.3333,47.8033,0.5,0.0,0,2025-04-24,casual,0.012901,
U000056,506,family,mobile,EU,35_44,standalone,5,14,12,472.5,42.9,0.6812,0.5704,0.3724,0.5717,17,7,8,1.1667,39.375,1.2143,0.5,0,2024-02-11,casual,0.012935,
U000057,164,family,tablet,LATAM,35_44,bundle,3,5,4,86.85,28.31,0.681,0.3356,0.6509,0.4022,5,3,12,1.25,21.7125,1.0,0.6,0,2025-01-18,casual,0.063766,
U000058,677,premium,mobile,LATAM,35_44,standalone,1,10,6,439.03,45.16,0.6632,0.5534,0.6063,0.2861,4,1,3,1.6667,73.1717,0.4,0.1,0,2023-08-24,passive,0.082235,
U000059,624,student,mobile,LATAM,18_24,bundle,4,25,14,1405.25,52.46,0.7601,0.3187,0.4738,0.9102,7,4,0,1.7857,100.375,0.28,0.16,0,2023-10-16,power,0.000698,
U000060,833,individual,tablet,US,25_34,standalone,4,25,17,1665.03,64.35,0.7965,0.3423,0.6895,0.7292,15,7,1,1.4706,97.9429,0.6,0.28,0,2023-03-21,power,0.00021,
