user_id,churn_probability,will_churn_30d,churn_date
U000000,0.031458,0,
U000001,0.355754,0,
U000002,0.071456,0,
U000003,0.000339,0,
U000004,0.00051,0,
U000005,0.024194,0,
U000006,0.88168,1,2025-07-03
U000007,0.008315,1,2025-07-05
U000008,0.188115,0,
U000009,0.028496,0,
U000010,0.002717,0,
U000011,0.026972,0,
U000012,0.009819,0,
U000013,0.071948,0,
U000014,0.002005,0,
U000015,0.016724,0,
U000016,0.014367,0,
U000017,0.008105,0,
U000018,0.540031,0,
U000019,0.00639,0,
U000020,0.283505,0,
U000021,0.842393,1,2025-07-13
U000022,0.562886,0,
U000023,0.019406,0,
U000024,0.165687,0,
U000025,0.176055,1,2025-07-24
U000026,0.007366,0,
U000027,0.003045,0,
U000028,0.060462,0,
U000029,0.000842,0,
U000030,0.000455,0,
U000031,0.433158,0,
U000032,0.001792,0,
U000033,0.012274,0,
U000034,0.087233,1,2025-07-28
U000035,0.002641,0,
U000036,0.399271,0,
U000037,0.000311,0,
U000038,0.853205,1,2025-07-30
U000039,0.073126,0,
U000040,0.018311,0,
U000041,0.000531,0,
U000042,0.009983,0,
U000043,0.015889,0,
U000044,0.020838,0,
U000045,0.527004,1,2025-07-22
U000046,0.051574,0,
U000047,0.699603,1,2025-07-17
U000048,0.000459,0,
U000049,0.708955,1,2025-07-22
U000050,0.003214,0,
U000051,0.011423,0,
U000052,0.334834,0,
U000053,0.000392,0,
U000054,0.307513,1,2025-07-18
U000055,0.012901,0,
U000056,0.012935,0,
U000057,0.063766,0,
U000058,0.082235,0,
U000059,0.000698,0,
U000060,0.00021,0,
U000061,0.000442,0,
U000062,0.015511,0,
U000063,0.000669,0,
U000064,0.896351,1,2025-07-16
U000065,0.002891,0,
U000066,0.397013,0,
U000067,0.025523,0,
U000068,0.008482,0,
U000069,0.001301,0,
U000070,0.008291,0,
U000071,0.029437,0,
U000072,0.118414,0,
U000073,0.004172,0,
U000074,0.740761,1,2025-07-13
U000075,0.011217,0,
U000076,0.010499,0,
U000077,0.003124,0,
U000078,0.006408,0,
U000079,0.17845,1,2025-07-03
U000080,0.000567,0,
U000081,0.083051,0,
U000082,0.082743,0,
U000083,0.00016,0,
U000084,0.520579,1,2025-07-28
U000085,0.004359,0,
U000086,0.154394,0,
U000087,0.009983,0,
U000088,0.968393,1,2025-07-16
U000089,0.003455,0,
U000090,0.002514,0,
U000091,0.205937,0,
U000092,0.005716,0,
U000093,0.003007,0,
U000094,0.267503,0,
U000095,0.042417,0,
U000096,0.121127,0,
U000097,0.042475,0,
U000098,0.583871,1,2025-07-12
U000099,0.585179,1,2025-07-11
U000100,0.092779,0,
U000101,0.023103,0,
U000102,0.000473,0,
U000103,0.150168,0,
U000104,0.680323,0,
U000105,0.006334,0,
U000106,0.000344,0,
U000107,0.065353,0,
U000108,0.004741,0,
U000109,0.445173,1,2025-07-30
U000110,0.001563,0,
U000111,0.706722,1,2025-07-04
U000112,0.031314,0,
U000113,0.755982,1,2025-07-11
U000114,0.000451,0,
U000115,0.084538,0,
U000116,0.074055,0,
U000117,0.125999,0,
U000118,0.000527,0,
U000119,0.067582,0,
U000120,0.172233,0,
U000121,0.010018,0,
U000122,0.022305,0,
U000123,0.383958,0,
U000124,0.03911,0,
U000125,0.000227,0,
U000126,0.013356,0,
U000127,0.017202,0,
U000128,0.330553,1,2025-07-29
