user_id,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session
U000000,7,2,307.98,42.09,0.9019,0.277,0.3697,0.4078,4,3,16
U000001,7,7,169.82,27.64,0.5867,0.5701,0.2306,0.3987,2,0,16
U000002,11,10,452.28,34.57,0.611,0.4399,0.482,0.2248,2,0,11
U000003,27,20,1745.14,59.82,0.7797,0.3829,0.4737,0.8547,15,2,1
U000004,26,18,1630.78,65.47,0.9175,0.1793,0.9093,0.6209,10,11,10
U000005,16,12,1116.75,61.32,0.7289,0.323,0.4012,0.3122,5,2,22
U000006,5,2,150.53,33.36,0.7235,0.3989,0.2205,0.4945,4,0,51
U000007,17,8,258.66,25.73,0.6896,0.3635,0.3978,0.3358,3,1,8
U000008,3,1,114.58,38.8,0.6222,0.4523,0.3629,0.2647,2,2,1
U000009,6,3,124.74,26.96,0.892,0.2692,0.3615,0.2005,14,4,3
U000010,22,10,860.46,43.1,0.8264,0.2459,0.5127,0.69,7,4,15
U000011,6,3,198.58,42.42,0.7002,0.4773,0.5138,0.4977,6,3,0
U000012,14,8,610.49,42.69,0.8509,0.2085,0.6355,0.1719,4,4,19
U000013,13,11,377.76,34.2,0.6198,0.5419,0.4105,0.144,3,2,9
U000014,38,27,2072.37,55.17,0.6173,0.4168,0.6243,0.7511,7,3,14
U000015,16,12,798.51,48.04,0.7853,0.3907,0.6517,0.3282,5,5,21
U000016,13,9,797.88,66.86,0.668,0.4218,0.244,0.5242,4,0,6
U000017,17,11,349.45,18.58,0.6909,0.323,0.6437,0.4446,6,5,4
U000018,5,3,107.23,22.85,0.6913,0.4681,0.2512,0.2561,2,1,34
U000019,18,11,859.67,51.28,0.5697,0.4429,0.8673,0.4644,6,3,1
U000020,10,4,350.41,35.33,0.4145,0.6557,0.1887,0.3528,0,2,10
U000021,1,2,30.49,36.83,0.4437,0.5671,0.212,0.1522,5,3,17
U000022,3,2,103.81,36.18,0.6256,0.4391,0.1302,0.1789,1,0,11
U000023,8,4,300.07,35.28,0.644,0.3626,0.4319,0.4403,2,2,0
U000024,5,3,111.32,22.24,0.5918,0.5705,0.3415,0.2567,5,1,3
U000025,8,2,282.98,30.86,0.4912,0.5764,0.4963,0.3238,5,5,15
U000026,19,13,652.89,37.14,0.6915,0.4105,0.5565,0.7682,6,4,4
U000027,21,11,548.64,31.01,0.606,0.4566,0.7755,0.5922,10,6,4
U000028,10,5,321.82,30.52,0.5928,0.5202,0.5004,0.1706,1,2,0
U000029,19,8,1290.02,61.76,0.9306,0.2126,0.6293,0.7223,9,6,0
U000030,25,12,1735.86,78.59,0.7507,0.2371,0.6438,0.8319,8,10,11
U000031,9,8,347.29,39.15,0.368,0.7341,0.2788,0.4505,1,2,10
U000032,12,3,966.97,64.06,0.9147,0.1914,0.8876,0.7508,10,8,6
U000033,18,14,537.02,34.64,0.6327,0.416,0.7589,0.3325,4,3,16
U000034,15,6,257.24,15.85,0.4677,0.6206,0.3856,0.0248,5,4,4
U000035,19,12,1183.69,63.15,0.7819,0.291,0.5341,0.7346,15,5,1
U000036,5,5,146.11,36.21,0.4903,0.5937,0.3116,0.2693,1,0,12
U000037,27,18,1700.11,56.27,0.99,0.0899,0.5377,0.5442,18,7,10
U000038,3,2,31.57,14.79,0.3038,0.7655,0.0891,0.1007,1,1,0
U000039,9,8,278.08,32.06,0.4956,0.5577,0.3021,0.3564,3,2,3
U000040,9,7,572.32,53.55,0.7464,0.4792,0.6837,0.6909,8,7,8
U000041,17,9,649.19,49.99,0.9581,0.0938,0.6697,0.4836,16,4,3
U000042,11,10,580.67,45.58,0.8967,0.2301,0.4218,0.5062,5,3,2
U000043,7,5,172.07,17.49,0.7274,0.3604,0.6142,0.4526,8,2,11
U000044,10,5,318.15,30.42,0.8426,0.2305,0.2497,0.4972,7,5,3
U000045,6,5,127.44,24.3,0.4609,0.5769,0.0722,0.0,2,1,13
U000046,10,5,350.4,43.57,0.6391,0.4375,0.6466,0.5143,6,4,9
U000047,11,9,458.6,35.46,0.3719,0.6461,0.05,0.516,1,0,37
U000048,20,10,791.28,59.88,0.8261,0.3265,0.9214,0.6874,12,7,0
U000049,3,1,99.17,32.95,0.6569,0.4754,0.0867,0.421,1,3,32
U000050,16,12,840.9,67.81,0.8015,0.2627,0.6159,0.6713,6,2,8
U000051,8,2,508.95,53.65,0.7272,0.355,0.4573,0.6612,6,4,4
U000052,8,4,287.61,28.09,0.4956,0.6025,0.4146,0.1313,2,0,23
U000053,31,23,1495.1,43.75,0.6282,0.4479,0.6698,0.7264,10,8,2
U000054,8,1,164.76,19.84,0.4856,0.5095,0.162,0.2003,2,0,12
U000055,8,6,286.82,43.41,0.8159,0.2678,0.8062,0.3878,4,0,1
U000056,14,12,472.5,42.9,0.6812,0.5704,0.3724,0.5717,17,7,8
U000057,5,4,86.85,28.31,0.681,0.3356,0.6509,0.4022,5,3,12
U000058,10,6,439.03,45.16,0.6632,0.5534,0.6063,0.2861,4,1,3
U000059,25,14,1405.25,52.46,0.7601,0.3187,0.4738,0.9102,7,4,0
U000060,25,17,1665.03,64.35,0.7965,0.3423,0.6895,0.7292,15,7,1
U000061,20,9,912.95,52.48,0.9713,0.01,0.8043,0.8026,14,3,3
U000062,11,7,435.89,34.62,0.7021,0.5276,0.6265,0.8602,5,4,5
U000063,26,10,1100.98,39.41,0.7862,0.3156,0.6905,0.5571,8,4,0
U000064,2,5,81.02,49.91,0.4128,0.5951,0.4463,0.3527,4,0,44
U000065,14,7,1061.6,72.04,0.7746,0.3791,0.8606,0.6953,8,4,4
U000066,5,3,226.08,43.32,0.4859,0.6583,0.3098,0.1389,1,5,12
