user_id,signup_date,tenure_days,behavioral_segment,plan,primary_device,region,age_group,bundle_type,num_services,sessions_last_30d,active_days_last_30d,watch_time_last_30d,avg_session_duration_min,completion_rate,skip_rate,content_diversity_score,feature_usage_score,search_activity_last_30d,watchlist_additions_last_30d,days_since_last_session,churn_probability,will_churn_30d,churn_date
U000000,2025-03-16,107,casual,individual,desktop,LATAM,35_44,standalone,1,7,2,307.98,42.09,0.9019,0.277,0.3697,0.4078,4,3,16,0.031458,0,
U000001,2023-07-28,704,passive,student,desktop,LATAM,45_54,standalone,2,7,7,169.82,27.64,0.5867,0.5701,0.2306,0.3987,2,0,16,0.355754,0,
U000002,2023-11-09,600,passive,individual,tablet,LATAM,25_34,bundle,1,11,10,452.28,34.57,0.611,0.4399,0.482,0.2248,2,0,11,0.071456,0,
U000003,2024-05-15,412,power,family,mobile,EU,18_24,bundle,5,27,20,1745.14,59.82,0.7797,0.3829,0.4737,0.8547,15,2,1,0.000339,0,
U000004,2024-05-20,407,power,individual,tv,LATAM,25_34,bundle,4,26,18,1630.78,65.47,0.9175,0.1793,0.9093,0.6209,10,11,10,0.00051,0,
U000005,2023-05-16,777,casual,student,tv,EU,25_34,standalone,4,16,12,1116.75,61.32,0.7289,0.323,0.4012,0.3122,5,2,22,0.024194,0,
U000006,2025-03-19,104,passive,individual,mobile,APAC,35_44,bundle,1,5,2,150.53,33.36,0.7235,0.3989,0.2205,0.4945,4,0,51,0.88168,1,2025-07-03
U000007,2023-10-03,637,passive,premium,tablet,LATAM,18_24,bundle,4,17,8,258.66,25.73,0.6896,0.3635,0.3978,0.3358,3,1,8,0.008315,1,2025-07-05
U000008,2024-12-08,205,passive,individual,tv,US,45_54,standalone,4,3,1,114.58,38.8,0.6222,0.4523,0.3629,0.2647,2,2,1,0.188115,0,
U000009,2025-03-11,112,casual,individual,tv,LATAM,25_34,standalone,3,6,3,124.74,26.96,0.892,0.2692,0.3615,0.2005,14,4,3,0.028496,0,
U000010,2024-02-29,488,casual,student,mobile,LATAM,45_54,bundle,3,22,10,860.46,43.1,0.8264,0.2459,0.5127,0.69,7,4,15,0.002717,0,
