user_id,signup_date,tenure_days,behavioral_segment,plan,primary_device,region,age_group,bundle_type,num_services
U000000,2025-03-16,107,casual,individual,desktop,LATAM,35_44,standalone,1
U000001,2023-07-28,704,passive,student,desktop,LATAM,45_54,standalone,2
U000002,2023-11-09,600,passive,individual,tablet,LATAM,25_34,bundle,1
U000003,2024-05-15,412,power,family,mobile,EU,18_24,bundle,5
U000004,2024-05-20,407,power,individual,tv,LATAM,25_34,bundle,4
U000005,2023-05-16,777,casual,student,tv,EU,25_34,standalone,4
U000006,2025-03-19,104,passive,individual,mobile,APAC,35_44,bundle,1
U000007,2023-10-03,637,passive,premium,tablet,LATAM,18_24,bundle,4
U000008,2024-12-08,205,passive,individual,tv,US,45_54,standalone,4
U000009,2025-03-11,112,casual,individual,tv,LATAM,25_34,standalone,3
U000010,2024-02-29,488,casual,student,mobile,LATAM,45_54,bundle,3
U000011,2023-02-03,879,casual,individual,mobile,LATAM,55_plus,bundle,3
U000012,2023-08-31,670,casual,family,tablet,LATAM,18_24,standalone,4
U000013,2023-08-09,692,passive,family,mobile,US,55_plus,standalone,3
U000014,2023-09-16,654,power,individual,mobile,US,35_44,bundle,2
U000015,2023-07-18,714,casual,premium,tv,US,45_54,standalone,2
U000016,2024-03-11,477,casual,individual,tv,US,25_34,standalone,3
U000017,2025-02-10,141,casual,premium,mobile,EU,45_54,standalone,3
U000018,2023-06-01,761,passive,student,mobile,EU,25_34,standalone,2
U000019,2024-05-05,422,casual,individual,tablet,EU,18_24,standalone,1
U000020,2024-03-23,465,at_risk,premium,desktop,US,55_plus,standalone,3
U000021,2024-07-14,352,at_risk,premium,tv,LATAM,55_plus,standalone,4
U000022,2024-12-24,189,at_risk,family,tablet,US,18_24,bundle,1
U000023,2023-03-17,837,passive,family,mobile,LATAM,25_34,bundle,3
U000024,2023-07-22,710,passive,family,tv,LATAM,55_plus,bundle,4
U000025,2023-11-19,590,passive,family,tv,EU,35_44,standalone,3
U000026,2024-06-16,380,casual,individual,tablet,APAC,25_34,bundle,3
U000027,2023-06-16,746,casual,individual,tablet,APAC,18_24,bundle,4
U000028,2024-02-12,505,passive,family,mobile,LATAM,25_34,standalone,2
U000029,2024-05-11,416,power,individual,mobile,LATAM,25_34,bundle,4
U000030,2024-05-05,422,power,premium,tablet,LATAM,35_44,standalone,4
U000031,2024-11-16,227,at_risk,individual,mobile,EU,25_34,standalone,2
U000032,2025-03-13,110,power,student,tv,US,35_44,standalone,3
U000033,2024-02-04,513,casual,individual,tv,EU,18_24,standalone,2
U000034,2023-04-20,803,passive,family,mobile,APAC,45_54,bundle,3
U000035,2025-04-07,85,power,student,tv,LATAM,18_24,standalone,3
U000036,2023-05-16,777,at_risk,premium,tv,LATAM,35_44,bundle,1
U000037,2023-06-12,750,power,student,tablet,EU,45_54,bundle,5
U000038,2024-10-03,271,at_risk,individual,mobile,LATAM,45_54,standalone,2
U000039,2023-11-29,580,passive,family,mobile,US,18_24,bundle,2
U000040,2025-01-09,173,casual,individual,mobile,LATAM,45_54,standalone,2
U000041,2023-08-11,690,power,family,mobile,US,18_24,standalone,4
U000042,2023-09-30,640,casual,student,tv,APAC,18_24,standalone,2
U000043,2024-07-28,338,casual,individual,mobile,LATAM,45_54,bundle,4
U000044,2025-04-03,89,casual,individual,mobile,LATAM,18_24,bundle,3
U000045,2023-02-07,875,at_risk,premium,desktop,APAC,25_34,bundle,1
U000046,2024-05-09,418,casual,student,mobile,LATAM,55_plus,standalone,1
U000047,2023-04-16,807,at_risk,individual,mobile,EU,25_34,bundle,3
U000048,2023-10-20,620,power,family,tablet,APAC,45_54,bundle,4
U000049,2023-07-25,707,at_risk,premium,tv,LATAM,35_44,bundle,3
U000050,2023-08-10,691,casual,family,mobile,LATAM,25_34,bundle,2
U000051,2024-12-14,199,casual,family,desktop,LATAM,25_34,standalone,3
U000052,2024-07-20,346,passive,individual,tv,LATAM,25_34,bundle,2
U000053,2024-04-21,436,power,individual,mobile,LATAM,45_54,bundle,5
U000054,2024-03-25,463,at_risk,premium,mobile,LATAM,45_54,standalone,2
U000055,2025-04-24,68,casual,premium,desktop,LATAM,25_34,bundle,2
U000056,2024-02-11,506,casual,family,mobile,EU,35_44,standalone,5
U000057,2025-01-18,164,casual,family,tablet,LATAM,35_44,bundle,3
U000058,2023-08-24,677,passive,premium,mobile,LATAM,35_44,standalone,1
U000059,2023-10-16,624,power,student,mobile,LATAM,18_24,bundle,4
U000060,2023-03-21,833,power,individual,tablet,US,25_34,standalone,4
U000061,2023-08-23,678,power,premium,desktop,LATAM,25_34,bundle,4
U000062,2024-07-17,349,casual,individual,mobile,LATAM,35_44,standalone,3
